Sr_No,Category,Date,Subject,Status
"1.1.10","ADMINISTRATION","28.08.2012","Delegation of Power to Chairman;Members and other officers of the NHAI- Modification of power for Authorization of tour of Regional Officers.","Pending"
"1.1.11","ADMINISTRATION","20.11.2012","Delegation of Power to Chairman;Members and other officers of the NHAI","Pending"
"1.1.12","ADMINISTRATION","16.4.2013","Delegation of power to Chairman;Members and other officers of the NHAI","Pending"
"1.1.13","ADMINISTRATION","27.8.2013","Delegation of power to Chairman;Members and other officers of the NHAI.","Pending"
"1.1.14","ADMINISTRATION","22.1.2014","Delegation of Power to Chairman;Members and other officers of the NHAI.","Pending"
"1.1.15","ADMINISTRATION","20.03.2014","Delegation of powers to GM level officers posted as Regional officers in Regional Offices.","Pending"
"1.1.16","ADMINISTRATION","16.09.2014","Delegation of power to Chairman;Members and other officers of the NHAI.","Pending"
"1.1.17","ADMINISTRATION","15.03.2016","Presenting Mementoes to the officers/staff on their repatriation/superannuation/retirement.","Pending"
"1.1.18","ADMINISTRATION","25.04.2016","Delegation of power to Chairman; Members and other officers of the NHAI","Pending"
"1.1.19","ADMINISTRATION","25.01.2017","Delegation of powers for expenditure on Inauguration/ Bhoomi Pujan/ foundation stone laying/ any other ceremony.","Pending"
"1.1.2","ADMINISTRATION","05.05.2006","Delegation of Powers to Chairman;Members and other officers of NHAI","Pending"
"1.1.20","ADMINISTRATION","03.02.2017","Circular reg Delegation of powers relating to tours and leave","Pending"
"1.1.21","ADMINISTRATION","06.06.2017","Delegation of power","Pending"
"1.1.22","ADMINISTRATION","13.11.2017","Delegation of powers for Media Relations","Pending"
"1.1.23","ADMINISTRATION","18.12.2017","Delegation of power for Media Relations/ 2017.","Pending"
"1.1.24","ADMINISTRATION","18.12.2017","Guidelines and delegation of power for implementation of Green Highways Projects (Plantation; Transplantation; Beautification and Maintenance)","Pending"
"1.1.25","ADMINISTRATION","21.12.2017","Delegation of power to ROs for technical finalization and approval of the detailed estimates for works of permanent rectification of Ministry identified black spots reg.","Pending"
"1.1.26","ADMINISTRATION","13.02.2018","Delegation of Powers to Chairman; Members and other officers of E&BM Section of the National highways Authority of India.","Pending"
"1.1.27","ADMINISTRATION","20.03.2018","Delegation of Powers to Regional Officers","Pending"
"1.1.28","ADMINISTRATION","05.07.2019","Delegation of powers to CGM (HR/Admn)","Pending"
"1.1.29","ADMINISTRATION","05.08.2019","Delegation of Powers to ROs for finalization of technical scope and approval of the detailed estimates for works of permanent rectification of Ministry identified blackspots reg.","Pending"
"1.1.3","ADMINISTRATION","03.03.2009","Delegation of powers to Chairman;Members and other officers of the Authority","Pending"
"1.1.30","ADMINISTRATION","05.12.2019","Cancelled","Pending"
